Actual_Label,Total,Correct,Incorrect,Error_Rate,Recall
Bot,1956,1812,144,0.0736196319018405,0.9263803680981595
BENIGN,413443,411477,1966,0.0047551899536332695,0.9952448100463668
PortScan,158804,158784,20,0.00012594141205511197,0.9998740585879449
DDoS,128006,127991,15,0.00011718200709341749,0.9998828179929066
